Test,RR,OLH
Basic Algorithm Validation,1.0,0.7
Privacy Test (ε=0.5),0.75,0.03785488958990536
Privacy Test (ε=1.0),0.7333333333333333,0.06711409395973154
Privacy Test (ε=2.0),0.7333333333333333,0.5294117647058824
Privacy Test (ε=4.0),0.7142857142857143,0.9090909090909091
Distribution Test (zipf),0.7333333333333333,0.8461538461538461
Distribution Test (uniform),1.0,0.0
Distribution Test (normal),1.0,0.0
Sample Size Test (n=5000),0.75,0.05357142857142857
Sample Size Test (n=10000),0.7333333333333333,0.06944444444444445
Sample Size Test (n=50000),0.7333333333333333,0.6470588235294118
Sample Size Test (n=200000),0.7333333333333333,0.9166666666666666
Domain Size Test (d=100),1.0,0.8461538461538461
Domain Size Test (d=1000),0.7333333333333333,0.6111111111111112
Domain Size Test (d=10000),1.0,0.1956521739130435
Threshold Test (t=0.005),0.8181818181818182,0.10077519379844961
Threshold Test (t=0.01),0.6875,0.5
Threshold Test (t=0.02),0.7777777777777778,0.7777777777777778
Threshold Test (t=0.05),0.6,1.0
Highly Skewed Distribution,0.75,0.8181818181818182
